Date,Odometer,FuelConsumed,Cost,FuelEconomy,IsFillToFull,MissedFuelUp,Notes,Tags
10/02/2013,1016,15.28,46.89,,TRUE,FALSE,Test Note,test1 test2
10/15/2013,1422,13.31,40.6,,TRUE,FALSE,Test Note,test1 test2
11/02/2013,1897,16.34,47.71,,TRUE,FALSE,Test Note,test1 test2
11/23/2013,2304,14.75,42.77,,TRUE,FALSE,Test Note,test1 test2
12/09/2013,2711,14.81,44.73,,TRUE,FALSE,Test Note,test1 test2
12/30/2013,3164,15.8,47.4,,TRUE,FALSE,Test Note,test1 test2
01/22/2014,3587,16.82,50.12,,TRUE,FALSE,Test Note,test1 test2
02/05/2014,4036,15.58,46.41,,TRUE,FALSE,Test Note,test1 test2
02/22/2014,4487,16.01,48.97,,TRUE,FALSE,Test Note,test1 test2
03/19/2014,4871,15.67,50.13,,TRUE,FALSE,Test Note,test1 test2
04/09/2014,5303,15.84,52.1,,TRUE,FALSE,Test Note,test1 test2
05/06/2014,5655,13.54,45.48,,TRUE,FALSE,Test Note,test1 test2
06/02/2014,6016,12.54,41.87,,TRUE,FALSE,Test Note,test1 test2
07/10/2014,6475,16.38,53.05,,TRUE,FALSE,Test Note,test1 test2
08/02/2014,6818,11.02,34.15,,TRUE,FALSE,Test Note,test1 test2
08/15/2014,7047,7.05,21.71,,TRUE,FALSE,Test Note,test1 test2
09/17/2014,7476,15.44,46.3,,TRUE,FALSE,Test Note,test1 test2
10/13/2014,7817,12.27,35.2,,TRUE,FALSE,Test Note,test1 test2
11/12/2014,8207,14.56,37.55,,TRUE,FALSE,Test Note,test1 test2
11/29/2014,8612,14.75,31.7,,TRUE,FALSE,Test Note,test1 test2
01/05/2015,9012,16,30.06,,TRUE,FALSE,Test Note,test1 test2
01/27/2015,9469,16.78,30.19,,TRUE,FALSE,Test Note,test1 test2
02/14/2015,9928,16.26,31.85,,TRUE,FALSE,Test Note,test1 test2
02/27/2015,10249,12.18,24.35,,TRUE,FALSE,Test Note,test1 test2
03/17/2015,10702,15.25,31.09,,TRUE,FALSE,Test Note,test1 test2
04/06/2015,11089,13.76,28.61,,TRUE,FALSE,Test Note,test1 test2
04/23/2015,11515,13.82,30.25,,TRUE,FALSE,Test Note,test1 test2
05/16/2015,11907,13.35,29.76,,TRUE,FALSE,Test Note,test1 test2
06/22/2015,12364,16.105,37.01,,TRUE,FALSE,Test Note,test1 test2
07/10/2015,12781,14.09,31.83,,TRUE,FALSE,Test Note,test1 test2
07/31/2015,13180,14.33,32.08,,TRUE,FALSE,Test Note,test1 test2
08/24/2015,13576,13.8,28.97,,TRUE,FALSE,Test Note,test1 test2
09/12/2015,14034,15.17,25.77,,TRUE,FALSE,Test Note,test1 test2
09/30/2015,14423,13.45,26.35,,TRUE,FALSE,Test Note,test1 test2
10/18/2015,14930,15.63,27.34,,TRUE,FALSE,Test Note,test1 test2
11/04/2015,15373,15.34,29.13,,TRUE,FALSE,Test Note,test1 test2
11/27/2015,15838,16.89,27.85,,TRUE,FALSE,Test Note,test1 test2
12/11/2015,16189,12.66,21.26,,TRUE,FALSE,Test Note,test1 test2
01/06/2016,16609,14.56,24.16,,TRUE,FALSE,Test Note,test1 test2
01/28/2016,17007,15.1,23.99,,TRUE,FALSE,Test Note,test1 test2
02/13/2016,17448,15.76,22.68,,TRUE,FALSE,Test Note,test1 test2
02/29/2016,17852,14.5,21.74,,TRUE,FALSE,Test Note,test1 test2
03/18/2016,18303,15.75,26.76,,TRUE,FALSE,Test Note,test1 test2
04/04/2016,18800,16.33,30.03,,TRUE,FALSE,Test Note,test1 test2
04/24/2016,19280,15.1,25.49,,TRUE,FALSE,Test Note,test1 test2
05/18/2016,19688,14.06,28.11,,TRUE,FALSE,Test Note,test1 test2
06/29/2016,20149,15.6,29.62,,TRUE,FALSE,Test Note,test1 test2
07/22/2016,20584,14.77,26.57,,TRUE,FALSE,Test Note,test1 test2
08/07/2016,20999,14.65,24.01,,TRUE,FALSE,Test Note,test1 test2
08/24/2016,21436,15.54,29.51,,TRUE,FALSE,Test Note,test1 test2
09/09/2016,21881,15.28,29.02,,TRUE,FALSE,Test Note,test1 test2
09/17/2016,22117,6.76,11.82,,TRUE,FALSE,Test Note,test1 test2
09/30/2016,22502,12.88,26.78,,TRUE,FALSE,Test Note,test1 test2
10/16/2016,22957,14.33,27.07,,TRUE,FALSE,Test Note,test1 test2
11/01/2016,23385,14.12,29.07,,TRUE,FALSE,Test Note,test1 test2
11/17/2016,23852,16.15,31.64,,TRUE,FALSE,Test Note,test1 test2
12/10/2016,24324,16.02,31.38,,TRUE,FALSE,Test Note,test1 test2
12/27/2016,24698,14.1,29.03,,TRUE,FALSE,Test Note,test1 test2
01/03/2017,25245,16.82,36.31,,TRUE,FALSE,Test Note,test1 test2
01/27/2017,25690,15.11,30.2,,TRUE,FALSE,Test Note,test1 test2
02/14/2017,26153,16.28,34.17,,TRUE,FALSE,Test Note,test1 test2
02/26/2017,26411,8.97,17.93,,TRUE,FALSE,Test Note,test1 test2
03/10/2017,26857,14.11,27.64,,TRUE,FALSE,Test Note,test1 test2
04/02/2017,27298,15.41,28.8,,TRUE,FALSE,Test Note,test1 test2
04/18/2017,27768,15.5,30.98,,TRUE,FALSE,Test Note,test1 test2
05/06/2017,28205,15.21,29.34,,TRUE,FALSE,Test Note,test1 test2
05/27/2017,28661,15.09,29.41,,TRUE,FALSE,Test Note,test1 test2
07/03/2017,29118,15.35,27.61,,TRUE,FALSE,Test Note,test1 test2
07/18/2017,29523,12.95,25.37,,TRUE,FALSE,Test Note,test1 test2
08/09/2017,29977,15.92,33.42,,TRUE,FALSE,Test Note,test1 test2
